Topic,Metric,Words
1,prob,"clean_energy, energy_transition, carbon_low, aim_project, build_capacity, natural_resource, civil_society, economic_growth, assistance_technical, development_infrastructure, good_practice, development_sustainable, energy_green, climate_energy, activity_support"
1,frex,"country_recipient, accelerate_transition, development_group, climate_genderjust, partnership_regulatory, around_world, group_pidg, level_local, agreement_cooperative, carbon_low, include_issue, energy_transition, expert_technical, government_national, environmental_sustainability"
1,lift,"activity_sdgsproject, align_canada, align_population, around_technical, assistance_initiative, awareness_canadian, awareness_international, canada_feminist, canada_nrcan, canada_project, canada_resource, canada_sdgs, canadathe_project, canadathe_visit, canadian_raise"
1,score,"energy_transition, clean_energy, carbon_low, natural_resource, climate_genderjust, country_recipient, civil_society, assistance_international, marginalize_vulnerable, energy_regulatory, coal_transition, partnership_regulatory, activity_sdgsproject, align_canada, align_population"
2,prob,"energy_source, efficiency_increase, gas_natural, investment_promote, development_investment, fuel_import, energy_service, efficiency_reliability, promote_service, energy_indigenous, development_transport, import_source, process_transport, energy_transparency, indigenous_utilization"
2,frex,"energy_indigenous, development_transport, import_source, process_transport, energy_transparency, indigenous_utilization, process_utilization, reliability_transparency, development_investment, distribution_gas, programme_renewable, energy_exchange, inch_kilometer, electric_interconnection, promote_service"
2,lift,"compressor_one, compressor_throughput, distribution_pipeline, electric_market, mmcfd_throughput, production_transmission, provide_uk, bangladesh_capacity, city_help, development_transport, electric_interconnection, energy_indigenous, energy_transparency, gas_titas, guarantee_project"
2,score,"process_utilization, reliability_transparency, indigenous_utilization, import_source, process_transport, energy_transparency, development_transport, energy_indigenous, promote_service, development_investment, efficiency_increase, fuel_import, investment_promote, efficiency_reliability, gas_natural"
3,prob,"energy_renewable, efficiency_energy, energy_resource, gas_greenhouse, energy_project, emission_gas, efficient_energy, bureau_energy, department_state, bureau_state, energy_investment, energy_improve, efficiency_renewable, emission_ghg, energy_source"
3,frex,"contractual_service, contractual_miscellaneous, classify_service, cover_miscellaneous, iaa_resource, efficient_energy, greenhouse_reduce, energy_finance, energy_investment, cover_resource, emission_ghg, credit_line, gas_greenhouse, comfortable_thermally, enr_resource"
3,lift,"achievement_previous, cause_energy, classify_service, cover_miscellaneous, develop_ecotechnologies, ecotechnologies_settlement, energy_type, forest_settlement, fund_iaa, iaa_resource, pull_stock, account_energy, additional_marginal, base_construct, beep_phase"
